iter	Passed	Remaining
432	1582	2072
433	1585	2068
434	1588	2063
435	1592	2059
436	1595	2055
437	1598	2051
438	1602	2047
439	1605	2043
440	1608	2038
441	1611	2034
442	1614	2030
443	1618	2026
444	1621	2022
445	1624	2018
446	1628	2014
447	1631	2010
448	1634	2005
449	1637	2001
450	1640	1997
451	1644	1994
452	1648	1990
453	1651	1986
454	1654	1981
455	1657	1977
456	1660	1973
457	1665	1970
458	1669	1968
459	1673	1964
460	1677	1960
461	1681	1957
462	1684	1953
463	1688	1950
464	1692	1947
465	1697	1944
466	1700	1941
467	1705	1938
468	1709	1935
469	1713	1932
470	1717	1928
471	1721	1925
472	1725	1922
473	1730	1919
474	1733	1916
475	1738	1913
476	1742	1911
477	1747	1908
478	1753	1907
479	1757	1904
480	1762	1901
481	1766	1898
482	1770	1894
483	1773	1891
484	1777	1887
485	1781	1884
486	1785	1880
487	1790	1878
488	1794	1875
489	1798	1872
490	1802	1869
491	1807	1866
492	1812	1863
493	1816	1860
494	1820	1857
495	1824	1854
496	1829	1851
497	1833	1848
498	1837	1844
499	1841	1841
500	1846	1839
501	1850	1836
502	1854	1832
503	1859	1829
504	1863	1826
505	1867	1823
506	1871	1819
507	1874	1815
508	1879	1812
509	1883	1809
510	1887	1806
511	1891	1803
512	1896	1800
513	1900	1797
514	1904	1793
515	1908	1790
516	1912	1786
517	1916	1783
518	1920	1780
519	1925	1777
520	1930	1774
521	1934	1771
522	1937	1766
523	1940	1763
524	1944	1759
525	1948	1755
526	1952	1752
527	1955	1748
528	1958	1743
529	1961	1739
530	1964	1735
531	1967	1731
532	1973	1728
533	1977	1725
534	1980	1721
535	1983	1717
536	1987	1713
537	1990	1709
538	1993	1704
539	1996	1700
540	1999	1696
541	2002	1692
542	2005	1687
543	2008	1683
544	2011	1679
545	2014	1675
546	2018	1671
547	2022	1668
548	2026	1664
549	2029	1660
550	2032	1656
551	2035	1652
552	2038	1647
553	2041	1643
554	2044	1639
555	2047	1635
556	2051	1631
557	2054	1627
558	2057	1623
559	2061	1619
560	2064	1615
561	2067	1611
562	2069	1606
563	2072	1602
564	2075	1598
565	2078	1593
566	2082	1590
567	2085	1586
568	2088	1581
569	2091	1577
570	2094	1573
571	2097	1569
572	2100	1565
573	2103	1561
574	2106	1557
575	2109	1553
576	2113	1549
577	2116	1545
578	2120	1541
579	2123	1537
580	2126	1533
581	2131	1530
582	2135	1527
583	2139	1523
584	2142	1520
585	2147	1517
586	2152	1514
587	2155	1510
588	2159	1506
589	2164	1503
590	2169	1501
591	2173	1498
592	2178	1494
593	2182	1492
594	2186	1488
595	2190	1484
596	2194	1481
597	2199	1478
598	2202	1474
599	2206	1471
600	2210	1467
601	2215	1464
602	2220	1461
603	2223	1457
604	2226	1453
605	2230	1450
606	2234	1446
607	2238	1442
608	2241	1439
609	2246	1436
610	2256	1436
611	2263	1434
612	2268	1431
613	2272	1428
614	2276	1424
615	2279	1421
616	2283	1417
617	2287	1413
618	2291	1410
619	2296	1407
620	2301	1404
621	2306	1401
622	2309	1397
623	2313	1393
624	2317	1390
625	2321	1386
626	2324	1383
627	2328	1379
628	2332	1375
629	2337	1372
630	2341	1369
631	2345	1365
632	2349	1362
633	2353	1358
634	2356	1354
635	2361	1351
636	2364	1347
637	2368	1344
638	2372	1340
639	2376	1336
640	2380	1333
641	2384	1329
642	2387	1325
643	2391	1321
644	2395	1318
645	2398	1314
646	2401	1310
647	2404	1306
648	2408	1302
649	2411	1298
650	2414	1294
651	2418	1290
652	2422	1287
653	2426	1283
654	2429	1279
655	2432	1275
656	2435	1271
657	2438	1267
658	2442	1263
659	2445	1259
660	2448	1255
661	2451	1251
662	2454	1247
663	2457	1243
664	2460	1239
665	2463	1235
666	2466	1231
667	2469	1227
668	2472	1223
669	2476	1219
670	2480	1216
671	2482	1211
672	2486	1207
673	2489	1203
674	2492	1199
675	2494	1195
676	2497	1191
677	2500	1187
678	2503	1183
679	2506	1179
680	2511	1176
681	2515	1172
682	2519	1169
683	2523	1165
684	2526	1161
685	2531	1158
686	2535	1155
687	2538	1151
688	2541	1147
689	2545	1143
