iter	Logloss
0	0.6740286869
1	0.6573646794
2	0.6396648573
3	0.6225977359
4	0.6057127248
5	0.5880890307
6	0.5711895072
7	0.5561904493
8	0.5411522077
9	0.5275142918
10	0.5175303584
11	0.5064180623
12	0.4940814557
13	0.4832774453
14	0.4752027677
15	0.4642707161
16	0.456169087
17	0.4480191106
18	0.438486348
19	0.4303432962
20	0.422721075
21	0.4159785976
22	0.4079355157
23	0.3999555007
24	0.3946744255
25	0.3870423358
26	0.3809963724
27	0.3751214898
28	0.3687997072
29	0.3630886078
30	0.3569096275
31	0.3516728774
32	0.346199243
33	0.3404878119
34	0.3357825694
35	0.3315234392
36	0.3268693012
37	0.3222506772
38	0.3176270153
39	0.3147230563
40	0.3106392985
41	0.3062474417
42	0.3029799254
43	0.2999168894
44	0.2967037947
45	0.2933566881
46	0.2900602714
47	0.2869565591
48	0.2837688405
49	0.2807667981
50	0.2775263164
51	0.2753582415
52	0.272311418
53	0.2694291654
54	0.2672391145
55	0.2649231994
56	0.2626920576
57	0.2603995696
58	0.2573837612
59	0.2551962396
60	0.2526855469
61	0.2504828495
62	0.2484631331
63	0.2464147858
64	0.2444727524
65	0.2423799556
66	0.2405280445
67	0.2386232044
68	0.2369290642
69	0.2349261823
70	0.2329552692
71	0.2305260949
72	0.2288694796
73	0.2270533935
74	0.2253540495
75	0.2240908664
76	0.222830959
77	0.2211246076
78	0.2196353
79	0.2186695596
80	0.2175256066
81	0.2162626515
82	0.2147357982
83	0.2135682935
84	0.2124895013
85	0.2114910043
86	0.2104210232
87	0.2092417841
88	0.2082795475
89	0.2066962615
90	0.2054770926
91	0.2041334069
92	0.2032338433
93	0.2023168232
94	0.2011444258
95	0.2003063534
96	0.1995065731
97	0.198678452
98	0.1977130641
99	0.1966554808
100	0.1956723669
101	0.1947967281
102	0.1937907882
103	0.1930090863
104	0.1920306579
105	0.1910200119
106	0.1900659229
107	0.1892445398
108	0.1884972738
109	0.1875757756
110	0.1868679005
111	0.186086323
112	0.1853988896
113	0.1845482536
114	0.1837744506
115	0.1830719658
116	0.1823186874
117	0.1814735247
118	0.1808526827
119	0.1803537037
120	0.1796784194
121	0.1788262906
122	0.1781483111
123	0.1775876957
124	0.1769354862
125	0.1761487463
126	0.1757801719
127	0.1751534835
128	0.1743575386
129	0.173624671
130	0.1729981588
131	0.1724314482
132	0.1719872433
133	0.1714408087
134	0.1710368654
135	0.1704891661
136	0.1699838224
137	0.169569793
138	0.1689708233
139	0.1686741165
140	0.1680321071
141	0.1675101778
142	0.1670853366
143	0.1667277917
144	0.1663426627
145	0.1657729771
146	0.1652355712
147	0.1647322696
148	0.164335199
149	0.1639923842
150	0.1633347636
151	0.1628749889
152	0.162525063
153	0.1620834807
154	0.161637016
155	0.1609980542
156	0.1604688893
157	0.1600859683
158	0.1598060338
159	0.1595131211
160	0.1592155643
161	0.1588334208
162	0.1584197335
163	0.1580366259
164	0.1577116303
165	0.1573557854
166	0.1571350201
167	0.1568864739
168	0.1565066835
169	0.1559916268
170	0.1555648161
171	0.1551063475
172	0.154733181
173	0.1545581196
174	0.1543596516
175	0.1540477898
176	0.1535977073
177	0.1532821863
178	0.1530326449
179	0.1527255203
180	0.1523615381
181	0.1520810024
182	0.1516728401
183	0.1514302959
184	0.1511710623
185	0.1509454665
186	0.1508208461
187	0.1505024848
188	0.1502735718
189	0.1500462449
190	0.1498621236
191	0.1495467891
192	0.149306515
193	0.1490343239
194	0.1488148648
195	0.1486326612
196	0.1482896805
197	0.1481347291
198	0.1479170841
199	0.147520169
200	0.1473323366
201	0.1471446493
202	0.1468655856
203	0.14652813
204	0.1462074777
205	0.1460435494
206	0.1457503257
207	0.1455904919
208	0.14528571
209	0.1451208177
210	0.1448050478
211	0.1446169148
212	0.1445723202
213	0.1443975283
214	0.144099816
215	0.1438318025
216	0.1435807684
217	0.1433998191
218	0.1432201448
219	0.1431253267
220	0.1429314821
221	0.1428020933
222	0.1425785604
223	0.1423563439
224	0.1420774667
225	0.1419127817
226	0.1417450905
227	0.1414834727
228	0.1412665015
229	0.1411222479
230	0.1410450106
231	0.1409113925
232	0.1407755872
233	0.1405884909
234	0.1403116351
235	0.1398697832
236	0.1397421256
237	0.1394664308
238	0.1391467219
239	0.1388675856
240	0.1385902322
241	0.1384182391
242	0.1381764412
243	0.1380463683
244	0.137843557
245	0.1377385492
246	0.1375426728
247	0.1373166416
248	0.1371820699
249	0.1370269008
250	0.1369076397
251	0.1367851962
252	0.1366464366
253	0.1365288341
254	0.136250527
255	0.1360633373
256	0.1359483885
257	0.1358332945
258	0.1357474431
259	0.1355768079
260	0.1352653089
261	0.1350823382
262	0.1349164921
263	0.1347013867
264	0.1345421853
265	0.1343589866
266	0.134121615
267	0.134084743
268	0.1338891568
269	0.1337542119
270	0.1336168206
271	0.1334893392
272	0.1332926128
273	0.1330575943
274	0.1329788954
275	0.1327271669
276	0.1325771809
277	0.1324505391
278	0.1322965104
279	0.1321043346
280	0.1319864936
281	0.131877215
282	0.1316991889
283	0.1314845189
284	0.1313720268
285	0.1311878018
286	0.1310611393
287	0.1309740025
288	0.1306942442
289	0.1306444044
290	0.1305199395
291	0.1304910183
292	0.1303949978
293	0.130376567
294	0.1301627366
295	0.1299586711
296	0.1296650016
297	0.129614291
298	0.1295303987
299	0.129489256
300	0.1293361498
301	0.1292599077
302	0.1291138193
303	0.1288610541
304	0.1287614988
305	0.1286355827
306	0.1284581682
307	0.1283390626
308	0.1281487009
309	0.1280377533
310	0.1278867825
311	0.127785579
312	0.1275493788
313	0.1274766093
314	0.1274475844
315	0.127311748
316	0.1272215843
317	0.1270043539
318	0.1268902654
319	0.1266381222
320	0.1266135444
321	0.1264533375
322	0.1263232749
323	0.1261427092
324	0.1259994714
325	0.1259072345
326	0.125777058
327	0.1256116784
328	0.1255459163
329	0.1254174398
330	0.1253935358
331	0.1252655776
332	0.1251614612
333	0.1251199142
334	0.1249536639
335	0.1247951051
336	0.1247364749
337	0.1245471913
338	0.1245056443
339	0.1243094983
340	0.1241681472
341	0.1240137556
342	0.1238715752
343	0.1238105919
344	0.1237028371
345	0.1236244077
346	0.1235223127
347	0.1234195647
348	0.1233663974
349	0.1231560292
350	0.1230712352
351	0.1228027551
352	0.1227154524
353	0.1225169016
354	0.1224805168
355	0.1223851287
356	0.1221602896
357	0.1220818706
358	0.1219968588
359	0.1218543675
360	0.1217387241
361	0.121636712
362	0.1216048158
363	0.1213746278
364	0.1212939801
365	0.1212037543
366	0.1210867633
367	0.1210466675
368	0.1208873002
369	0.1207974475
370	0.1206894958
371	0.1206187891
372	0.1205872349
373	0.1204628219
374	0.1203383363
375	0.1202377236
376	0.1201773623
377	0.1201455075
378	0.1200466778
379	0.1199123134
380	0.1196114291
381	0.1194683365
382	0.1194370622
383	0.1192379827
384	0.1191536033
385	0.119108822
386	0.1190688921
387	0.1190106972
388	0.1188103531
389	0.1186410655
390	0.1185364101
391	0.1184141843
392	0.1183864241
393	0.1183228285
394	0.1181152593
395	0.1179905974
396	0.1178699473
397	0.1177917874
398	0.117678777
399	0.1175808907
400	0.117510609
401	0.1173920839
402	0.1172130626
403	0.1170707267
404	0.1170002792
405	0.1167578075
406	0.1166303365
407	0.1165536279
408	0.116460427
409	0.1164178641
410	0.1163057763
411	0.1161458078
412	0.1161160365
413	0.1160475793
414	0.1160177148
415	0.1159605462
416	0.1158776698
417	0.1158572487
418	0.1157522202
419	0.1156824983
420	0.1156410031
421	0.1155642841
422	0.1154527872
423	0.1152682823
424	0.1152431447
425	0.1150326832
426	0.1149352322
427	0.1148495985
